Date,Day,Week,Month,Quarter,Year,Weekend,Season,Festival,Holiday
2024-07-18,18,29,7,3,2024,False,Monsoon,None,False
2024-07-19,19,29,7,3,2024,False,Monsoon,None,False
2024-07-20,20,29,7,3,2024,True,Monsoon,None,False
2024-07-21,21,29,7,3,2024,True,Monsoon,None,False
2024-07-22,22,30,7,3,2024,False,Monsoon,None,False
2024-07-23,23,30,7,3,2024,False,Monsoon,None,False
2024-07-24,24,30,7,3,2024,False,Monsoon,None,False
2024-07-25,25,30,7,3,2024,False,Monsoon,None,False
2024-07-26,26,30,7,3,2024,False,Monsoon,None,False
2024-07-27,27,30,7,3,2024,True,Monsoon,None,False
2024-07-28,28,30,7,3,2024,True,Monsoon,None,False
2024-07-29,29,31,7,3,2024,False,Monsoon,None,False
2024-07-30,30,31,7,3,2024,False,Monsoon,None,False
2024-07-31,31,31,7,3,2024,False,Monsoon,None,False
2024-08-01,1,31,8,3,2024,False,Monsoon,None,False
2024-08-02,2,31,8,3,2024,False,Monsoon,None,False
2024-08-03,3,31,8,3,2024,True,Monsoon,None,False
2024-08-04,4,31,8,3,2024,True,Monsoon,None,False
2024-08-05,5,32,8,3,2024,False,Monsoon,None,False
2024-08-06,6,32,8,3,2024,False,Monsoon,None,False
2024-08-07,7,32,8,3,2024,False,Monsoon,None,False
2024-08-08,8,32,8,3,2024,False,Monsoon,None,False
2024-08-09,9,32,8,3,2024,False,Monsoon,None,False
2024-08-10,10,32,8,3,2024,True,Monsoon,None,False
2024-08-11,11,32,8,3,2024,True,Monsoon,None,False
2024-08-12,12,33,8,3,2024,False,Monsoon,None,False
2024-08-13,13,33,8,3,2024,False,Monsoon,None,False
2024-08-14,14,33,8,3,2024,False,Monsoon,None,False
2024-08-15,15,33,8,3,2024,False,Monsoon,Independence Day,True
2024-08-16,16,33,8,3,2024,False,Monsoon,None,False
2024-08-17,17,33,8,3,2024,True,Monsoon,None,False
2024-08-18,18,33,8,3,2024,True,Monsoon,None,False
2024-08-19,19,34,8,3,2024,False,Monsoon,None,False
2024-08-20,20,34,8,3,2024,False,Monsoon,None,False
2024-08-21,21,34,8,3,2024,False,Monsoon,None,False
2024-08-22,22,34,8,3,2024,False,Monsoon,None,False
2024-08-23,23,34,8,3,2024,False,Monsoon,None,False
2024-08-24,24,34,8,3,2024,True,Monsoon,None,False
2024-08-25,25,34,8,3,2024,True,Monsoon,None,False
2024-08-26,26,35,8,3,2024,False,Monsoon,None,False
2024-08-27,27,35,8,3,2024,False,Monsoon,None,False
2024-08-28,28,35,8,3,2024,False,Monsoon,None,False
2024-08-29,29,35,8,3,2024,False,Monsoon,None,False
2024-08-30,30,35,8,3,2024,False,Monsoon,None,False
2024-08-31,31,35,8,3,2024,True,Monsoon,None,False
2024-09-01,1,35,9,3,2024,True,Monsoon,None,False
2024-09-02,2,36,9,3,2024,False,Monsoon,None,False
2024-09-03,3,36,9,3,2024,False,Monsoon,None,False
2024-09-04,4,36,9,3,2024,False,Monsoon,None,False
2024-09-05,5,36,9,3,2024,False,Monsoon,None,False
2024-09-06,6,36,9,3,2024,False,Monsoon,None,False
2024-09-07,7,36,9,3,2024,True,Monsoon,None,False
2024-09-08,8,36,9,3,2024,True,Monsoon,None,False
2024-09-09,9,37,9,3,2024,False,Monsoon,None,False
2024-09-10,10,37,9,3,2024,False,Monsoon,None,False
2024-09-11,11,37,9,3,2024,False,Monsoon,None,False
2024-09-12,12,37,9,3,2024,False,Monsoon,None,False
2024-09-13,13,37,9,3,2024,False,Monsoon,None,False
2024-09-14,14,37,9,3,2024,True,Monsoon,None,False
2024-09-15,15,37,9,3,2024,True,Monsoon,None,False
2024-09-16,16,38,9,3,2024,False,Monsoon,None,False
2024-09-17,17,38,9,3,2024,False,Monsoon,None,False
2024-09-18,18,38,9,3,2024,False,Monsoon,None,False
2024-09-19,19,38,9,3,2024,False,Monsoon,None,False
2024-09-20,20,38,9,3,2024,False,Monsoon,None,False
2024-09-21,21,38,9,3,2024,True,Monsoon,None,False
2024-09-22,22,38,9,3,2024,True,Monsoon,None,False
2024-09-23,23,39,9,3,2024,False,Monsoon,None,False
2024-09-24,24,39,9,3,2024,False,Monsoon,None,False
